adwaita-icon-theme	50.0-1
alacritty	0.16.1-2ubuntu1
apt	3.2.0
base-files	14ubuntu6.2
base-passwd	3.6.8
bash	5.3-2ubuntu1
binutils	2.46-3ubuntu2
binutils-common:amd64	2.46-3ubuntu2
binutils-x86-64-linux-gnu	2.46-3ubuntu2
bsdutils	1:2.41.3-3ubuntu2.2
bubblewrap	0.11.1-1ubuntu0.1
build-essential	12.12ubuntu2.26.04.2
bzip2	1.0.8-6ubuntu0.1
ca-certificates	20260601~26.04.1
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
cpp	4:15.2.0-5ubuntu1
cpp-15	15.2.0-16ubuntu1
cpp-15-x86-64-linux-gnu	15.2.0-16ubuntu1
cpp-x86-64-linux-gnu	4:15.2.0-5ubuntu1
dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4
dconf-gsettings-backend:amd64	0.49.0-4
dconf-service	0.49.0-4
debconf	1.5.92
debianutils	5.23.2build1
diffutils	1:3.12-1ubuntu0.1
dpkg	1.23.7ubuntu1
dpkg-dev	1.23.7ubuntu1
e2fsprogs	1.47.2-3ubuntu4
findutils	4.10.0-3build2
fontconfig	2.17.1-3ubuntu1
fontconfig-config	2.17.1-3ubuntu1
fonts-dejavu-core	2.37-8build1
fonts-dejavu-mono	2.37-8build1
fonts-noto-cjk	1:20240730+repack1-1build1
fonts-noto-color-emoji	2.051-1build1
g++	4:15.2.0-5ubuntu1
g++-15	15.2.0-16ubuntu1
g++-15-x86-64-linux-gnu	15.2.0-16ubuntu1
g++-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gcc	4:15.2.0-5ubuntu1
gcc-15	15.2.0-16ubuntu1
gcc-15-base:amd64	15.2.0-16ubuntu1
gcc-15-x86-64-linux-gnu	15.2.0-16ubuntu1
gcc-16-base:amd64	16-20260322-1ubuntu1
gcc-x86-64-linux-gnu	4:15.2.0-5ubuntu1
ghostty	1.3.0~us1-0ubuntu1.1
glycin-loaders	2.1.1+ds-0ubuntu1
glycin-thumbnailers	2.1.1+ds-0ubuntu1
gnu-coreutils	9.7-3ubuntu2.1
gpgv	2.4.8-4ubuntu3
grep	3.12-1
gtk-update-icon-cache	4.22.4+ds-0ubuntu0.1
gzip	1.14-1~exp2ubuntu1.1
hicolor-icon-theme	0.18-2build1
hostname	3.25build1
init-system-helpers	1.69
iso-codes	4.20.1-1
kitty	0.45.0-1build1
kitty-shell-integration	0.45.0-1build1
kitty-terminfo	0.45.0-1build1
libacl1:amd64	2.3.2-2
libadwaita-1-0:amd64	1.9.1-0ubuntu0.1
libaml0t64:amd64	0.3.0-3build1
libaom3:amd64	3.13.1-2
libapparmor1:amd64	5.0.2-0ubuntu1~26.04.1
libappstream5:amd64	1.1.2-1
libapt-pkg7.0:amd64	3.2.0
libasan8:amd64	16-20260322-1ubuntu1
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libass9:amd64	1:0.17.4-2
libatomic1:amd64	16-20260322-1ubuntu1
libattr1:amd64	1:2.5.2-4ubuntu0.1
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libavahi-client3:amd64	0.8-18ubuntu1.1
libavahi-common-data:amd64	0.8-18ubuntu1.1
libavahi-common3:amd64	0.8-18ubuntu1.1
libavcodec62:amd64	7:8.0.1-3ubuntu2
libavfilter11:amd64	7:8.0.1-3ubuntu2
libavformat62:amd64	7:8.0.1-3ubuntu2
libavutil60:amd64	7:8.0.1-3ubuntu2
libbinutils:amd64	2.46-3ubuntu2
libblkid1:amd64	2.41.3-3ubuntu2.2
libbluray3:amd64	1:1.4.1-1
libbrotli-dev:amd64	1.2.0-3build1
libbrotli1:amd64	1.2.0-3build1
libbs2b0:amd64	3.1.0+dfsg-8build1
libbsd0:amd64	0.12.2-2build2
libbz2-1.0:amd64	1.0.8-6ubuntu0.1
libbz2-dev:amd64	1.0.8-6ubuntu0.1
libc-bin	2.43-2ubuntu2.4
libc-dev-bin	2.43-2ubuntu2.4
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.4
libc6:amd64	2.43-2ubuntu2.4
libc6-dev:amd64	2.43-2ubuntu2.4
libcairo-gobject2:amd64	1.18.4-3
libcairo-script-interpreter2:amd64	1.18.4-3
libcairo2:amd64	1.18.4-3
libcap-ng0:amd64	0.8.5-4build5
libcap2:amd64	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcc1-0:amd64	16-20260322-1ubuntu1
libchromaprint1:amd64	1.6.0-2build1
libcjson1:amd64	1.7.19-2
libcodec2-1.2:amd64	1.2.0-4
libcolord2:amd64	1.4.8-3
libcom-err2:amd64	1.47.2-3ubuntu4
libcrypt-dev:amd64	1:4.5.1-1
libcrypt1:amd64	1:4.5.1-1
libctf-nobfd0:amd64	2.46-3ubuntu2
libctf0:amd64	2.46-3ubuntu2
libcups2t64:amd64	2.4.16-1ubuntu1.3
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.5
libdatrie1:amd64	0.2.14-1
libdav1d7:amd64	1.5.3-1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
libdconf1:amd64	0.49.0-4
libdebconfclient0:amd64	0.280ubuntu1
libdeflate0:amd64	1.23-2ubuntu1
libdisplay-info3:amd64	0.3.0-1
libdpkg-perl	1.23.7ubuntu1
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-common	2.4.131-1
libdrm-intel1:amd64	2.4.131-1
libdrm2:amd64	2.4.131-1
libdvdnav4:amd64	7.0.0-2
libdvdread8t64:amd64	7.0.1-1
libedit2:amd64	3.1-20251016-1
libegl-mesa0:amd64	26.0.8-1ubuntu0.3
libegl1:amd64	1.7.0-3
libelf1t64:amd64	0.194-4
libepoxy0:amd64	1.5.10-2build1
libevdev2:amd64	1.13.6+dfsg-1
libexpat1:amd64	2.7.4-1
libexpat1-dev:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libffi8:amd64	3.5.2-4
libfftw3-double3:amd64	3.3.10-2fakesync1build3
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libflac14:amd64	1.5.0+ds-5
libflite1:amd64	2.2-7build1
libfontconfig-dev:amd64	2.17.1-3ubuntu1
libfontconfig1:amd64	2.17.1-3ubuntu1
libfontconfig1-dev:amd64	2.17.1-3ubuntu1
libfreerdp-server3-3:amd64	3.31.0+dfsg-0ubuntu0.26.04.1
libfreerdp3-3:amd64	3.31.0+dfsg-0ubuntu0.26.04.1
libfreetype-dev:amd64	2.14.2+dfsg-1ubuntu0.1
libfreetype6:amd64	2.14.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.16-5
libfyaml0:amd64	0.9.4-1
libgbm1:amd64	26.0.8-1ubuntu0.3
libgcc-15-dev:amd64	15.2.0-16ubuntu1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcrypt20:amd64	1.12.0-2ubuntu1.1
libgdbm-compat4t64:amd64	1.26-1build1
libgdbm6t64:amd64	1.26-1build1
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1
libgl1:amd64	1.7.0-3
libgl1-mesa-dri:amd64	26.0.8-1ubuntu0.3
libgles2:amd64	1.7.0-3
libglib2.0-0t64:amd64	2.88.0-1
libglvnd0:amd64	1.7.0-3
libglx-mesa0:amd64	26.0.8-1ubuntu0.3
libglx0:amd64	1.7.0-3
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1
libgme0:amd64	0.6.4-1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgomp1:amd64	16-20260322-1ubuntu1
libgpg-error0:amd64	1.58-2
libgprofng0:amd64	2.46-3ubuntu2
libgraphene-1.0-0:amd64	1.10.8-5build1
